,author_id,created_at,lang,tweet
0,1523136967604523009,2022-07-07 13:05:13+00:00,in,"Viral abg cantik sange pesen gojek sekalian sewa gojek buat puasin nafsunya pagi pagi 

@ViralID13

LINK FULL VIDIO CEK DIBAWAH KOMENTAR #TikTok #chika20jt #SANGE_AAAAAAAAAAH #khilafclub #vcs #pengalamanngedate #instagramdown #Instagram #Viral https://t.co/n025TxOC1z"
1,3347776406,2022-07-07 13:04:15+00:00,in,"Gw kenal beberapa driver beta. Mereka sendiri mengakui utk kasih masukan ke gojek ampe narik urat, bukan maen susahnya. Apalagi driver jelata kek gw.
Tapi namanya ikhtiar, ga ada salahnya kan mencoba.
Jek ayo jek @gojekindonesia 

#AdaApaDenganGojek 
#AdaApaDenganGojek https://t.co/RR6AxPV53O"
2,1261238592686272512,2022-07-07 13:03:35+00:00,in,"@beotmgyu Pake gojek coba, kali aja free ong"
3,4676149212,2022-07-07 13:03:34+00:00,in,"oalaaa kalo gada aplikasi gojek, pas payment via gopay bisa di shopeeeee jirr https://t.co/iQX6mVn2Jl"
4,1294230085864534017,2022-07-07 13:02:57+00:00,en,"How Does Multi Service App like Gojek Make Money in Nigeria?

https://t.co/OpCq3vju6K

#gojekclone #gojekcloneapp #applikegojek #gojekclonescript https://t.co/XbZhm1009j"
5,1530204498014400512,2022-07-07 13:02:49+00:00,in,gue balik jam segini aja dah hrsnya kereta sepi tp RATE GOJEK NAIK😆
6,60006459,2022-07-07 13:02:47+00:00,in,"Lagi nungguin gojek. Kelen tanyak2 lah di sini.

https://t.co/PzFLKcocze"
7,1477624309086445568,2022-07-07 13:02:08+00:00,in,"Gue liat sg emak gue:

Iri gak diajak ke SG ❌️
Iri karena jajan makanan yang enak-enak✅️

Alias gue ngiler banget, ini kalau papi gue udah pergi main futsal gue gojek aja kali ya"
8,3129786378,2022-07-07 13:01:27+00:00,in,"@rppvtra Eh iya juga sih, gua udah 4 bukan terakhir nabung sehari ceban di bibit, ini juga mau daftar tabungan BRI yg ada di swadaya gojek. 

Rencananya sih buat jangka panjang untuk kuliah anak. Semoga deh ya sanggup terus tiap hari."
9,115860413,2022-07-07 12:59:41+00:00,in,"Kenapa ya gojek ngilangin plat pas mesen gofood? Ini jg masnya takutan wkwkwk pdhl biar gampang w nyarinya, ga nanya ke setiap gojek yg lewat:) https://t.co/lF9JZBQ2Nh"
