,author_id,created_at,lang,tweet
0,997753390347137029,2022-07-07 09:51:02+00:00,in,"@aliviaawin @gojekindonesia Pernah ngobrol sm mas2 gojek katanya bisa, istrinya lahiran, operasi semua ditanggung asuransi"
1,812725273581887488,2022-07-07 09:49:06+00:00,in,@detiksport ini anggaran olahraga yg paling besar tapi minim prestasi bubarin aja udah... mau yg ngelatih guardiola pun susah juga kalo ke bulan naik angkot tp pulang naik gojek gadak promo pulak itu.. paksalah jalan kaki sampe simpang kayu manis ada es teh beli biar lega tp gabisa bayar
2,1293463204325019649,2022-07-07 09:48:14+00:00,in,si bego yg ngepost ss an gojek tp lupa sensor alamat 2 kali ajgggg tolol bgt 😭😭😭
3,984367810854842368,2022-07-07 09:47:47+00:00,in,untung pas ditelpon ada yang ngangkat😭😭 abis itu dia naik gojek sendiri ke asrama gue sama yang lain nunggu di fib😭😭 ada aja drama di sore hari
4,1345042706007879681,2022-07-07 09:46:34+00:00,in,min saya baru bikin akun gojek tapi kok ga dapet voucher sama sekali ya? @gojekindonesia
5,1528349132787703810,2022-07-07 09:46:31+00:00,in,"@no23rens AHAHAHA, cheey aku ada injun ppsg21 set, gojek, sm wink…niatnya mau stopkol sii tp masihh bimbang"
6,1491471791176708098,2022-07-07 09:45:19+00:00,in,Wts voucher gojek gofood #zonauangᅠ https://t.co/kAQGLVuYNP
7,1453562424854867970,2022-07-07 09:44:30+00:00,in,@moonareas gojek apa grab nich
8,1288456235520425986,2022-07-07 09:44:20+00:00,in,ah mls bgtt fakk badmood ad orang tuh ya harusnya tau gue abis naik gojek eh ditawarin naik gojek lagi (manual tapi) KEK GUE TUH MALES CAPEKK UDH JGN DITANYA LAGI DONG MALESSS GUE trs dilejar terus gue TUH LAGI NUNGGU BAPAKKK
9,1541464754279297024,2022-07-07 09:42:52+00:00,in,"@moonareas helm kmu gojek, jadi kmu gojek atau grab"
10,1505520267564519424,2022-07-07 09:42:34+00:00,tr,@moonareas oji gojek gkda kah
11,1181439755147366400,2022-07-07 09:42:32+00:00,in,"ak nunggu didepan ajh, yang didalam ak serah kan ke mas gojek https://t.co/UjupHJx442"
